playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2018-03-08,3,5,5,4,5
Player13,2018-03-08,4,5,5,5,5
Player4,2018-03-08,4,4,4,4,4
Player6,2018-03-08,4,5,4,4,4
Player8,2018-03-08,4,4,4,4,4
Player21,2018-03-08,4,4,4,4,4
Player3,2018-03-08,4,5,5,5,5
Player22,2018-03-08,4,5,4,4,4
Player14,2018-03-08,4,5,5,4,5
Player19,2018-03-08,2,5,5,4,5
Player23,2018-03-08,4,5,4,5,5
Player32,2018-03-08,4,4,4,4,4
Player2,2018-03-08,3,5,3,4,5
Player5,2018-03-08,5,5,3,5,5
Player10,2018-03-08,5,5,5,5,5
Player11,2018-03-08,3,5,4,4,5
Player16,2018-03-08,3,5,5,5,5
Player25,2018-03-08,5,5,5,5,5
Player12,2018-03-08,5,5,4,5,3
Player28,2018-03-08,5,5,5,5,5
