playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-11-25,2,5,3,2,4
Player6,2017-11-25,4,5,3,4,4
Player8,2017-11-25,4,4,4,4,4
Player21,2017-11-25,3,3,3,2,3
Player3,2017-11-25,4,4,4,4,4
Player22,2017-11-25,4,4,4,4,4
Player17,2017-11-25,5,5,5,4,5
Player14,2017-11-25,3,5,4,4,4
Player7,2017-11-25,5,5,5,5,5
Player19,2017-11-25,3,5,4,2,5
Player29,2017-11-25,3,4,3,2,4
Player23,2017-11-25,4,5,4,5,5
Player32,2017-11-25,5,5,4,5,5
Player2,2017-11-25,3,5,4,4,3
Player20,2017-11-25,5,5,5,5,5
Player5,2017-11-25,3,3,3,4,4
Player10,2017-11-25,4,4,3,4,4
Player11,2017-11-25,5,4,4,2,3
Player30,2017-11-25,5,5,5,4,5
Player16,2017-11-25,4,4,3,5,4
Player25,2017-11-25,5,5,5,4,5
Player9,2017-11-25,2,3,2,3,4
Player1,2017-11-25,3,2,3,3,3
Player26,2017-11-25,4,4,3,4,4
