date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty
2017-07-07 00:00:00.000,Player1,36.15,0,1.0007942458793342,2017-07-07 10:42:58.464,Offensive-combinat,2017-07-07 11:19:07.104,2.0544,0.0,6,191.7,0.0,6.566609181925489,27.534540888128134,0.0,43.528963348925764,14.962,110.79999999999998,20,16,0,0,176.738,56.8303,0,4.3261,0,41,45,14,2,42923,0,36,38,15,5,2.0544,56.8303,0.8132,0.1495,0.0417,0.0064,0.0006,0.815,0.1392,0.0632,0.0189,0.0069,0.9013,0.2578,0.1364,0.0809,0.0493,0.0254,0.0117,0.008,0.0064,0.5671,0.01,1.2101,0.7566,0.0728,0.015,0,2169,235.4419,0,0,62,0,0,0,109.0405,Baluta,0,6,0,0,0,6,4.3261,GD 2,42923.47161,Offensive-combinat,42923.44651,14.962, training,1087.3,82.2,20.1,3.8,0.4,862.6,77.3,26.6,6.4,2,0,0,0,0,0,1604.1,98.3,42.4,23.1,13.4,7.5,3.3,2.1,1.7,370.1,2.7,1841.6,309.5,15,2.6,0,5.9645,10.6608,False
2017-07-07 00:00:00.000,Player1,68.18333333333334,3,2.8158302601166607,2017-07-07 10:27:19.296,Session,2017-07-07 11:35:30.335,4.7354,0.0,22,1373.5,32.63923171352277,37.433355631629134,83.95298984463473,0.0,52.95100664421259,677.913,625.1999999999999,25,35,0,0,695.587,69.4504,0,5.2271,0,66,56,29,6,42923,0,68,48,18,7,4.7354,69.4504,1.8797,0.2532,0.0747,0.0165,0.0015,2.1535,0.2534,0.0739,0.0211,0.008,1.6396,0.4429,0.3805,0.7483,0.4081,0.1236,0.0427,0.0196,0.0126,0.8988,0.0186,2.0998,1.3341,0.6235,0.6779,0,4091,536.6309,0,0,135,0,0,0,231.9323,Baluta,0,6,0,2,14,22,5.2271,GD 2,42923.48299,Session,42923.43564,677.913, training,1978.4,127.6,36,10,1.1,1768.4,128.7,31,7.4,2.4,0,0,0,0,0,2966.5,165.5,102.3,148.6,79.1,28,10.5,5.2,3.5,576.6,5.2,3320.9,530.1,124.1,115.9,0,6.4045,15.187,False
2017-07-07 00:00:00.000,Player1,11.333333333333334,0,1.5857855863659265,2017-07-07 11:24:10.368,Intermittent-run,2017-07-07 11:35:30.335,1.6016,0.0,14,1098.4999999999998,0.0,31.71571172731853,0.0,0.0,108.36304700765942,649.469,474.30000000000007,0,12,0,0,449.0309999999997,141.3136,0,10.7875,0,2,3,8,4,42923,0,13,3,0,0,1.6016,141.3136,0.6246,0.0586,0.0192,0.0063,0.0008,0.8278,0.063,0.0011,0,0,0.1968,0.0663,0.1819,0.6242,0.3403,0.087,0.0271,0.0092,0.0043,0.058,0.0064,0.2239,0.2271,0.5012,0.6495,0,680,184.0296,0,0,44,0,0,0,62.5508,Baluta,0,0,0,0,14,14,10.7875,GD 2,42923.48299,Intermittent-run,42923.47512,649.469, training,279.2,18.2,8.5,4.3,0.7,345,23.5,0.4,0,0,0,0,0,0,0,374.3,21.6,42,115.5,61,17.6,6.1,2.3,1.2,36.4,1.8,396,73.7,99.2,110.9,0,6.4045,40.0118,False
2017-07-07 00:00:00.000,Player1,9.716666666666667,0,0.33860165824286037,2017-07-07 10:27:18.432,Warm-up,2017-07-07 10:37:01.632,0.6672,0.0,2,78.1,0.0,2.416838951713274,9.267133097853582,0.0,52.31264774214404,13.483,36.699999999999996,3,7,0,0,64.61699999999999,68.6631,0,5.1585,0,20,6,7,0,42923,0,18,4,2,1,0.6672,68.6631,0.2461,0.0378,0.0104,0.0038,0,0.3189,0.042,0.0065,0.0013,0.0006,0.2324,0.1087,0.0551,0.0414,0.0166,0.0109,0.0037,0.002,0.0012,0.193,0.0023,0.2905,0.3145,0.0487,0.0135,0,583,75.4324,0,0,27,0,0,0,39.0039,Baluta,0,0,0,2,0,2,5.1585,GD 2,42923.44238,Warm-up,42923.43563,13.483, training,253.5,21.3,5.8,1.9,0,276.3,20.5,2.7,0.5,0.2,0,0,0,0,0,394.2,41.6,15.5,9.4,4.1,2.8,1,0.7,0.4,112.3,0.7,439.8,130.8,9.7,2.4,0,5.6178,18.809,False
2017-07-07 00:00:00.000,Player2,10.066666666666666,0,1.0490034113562439,2017-07-07 11:23:01.248,Intermittent-run,2017-07-07 11:33:05.184,1.49,0.0,9,794.7,0.0,20.980068227124878,0.0,0.0,111.9712042282301,325.512,248.29999999999998,0,4,0,0,469.18800000000005,148.01,0,10.9238,0,7,4,4,0,42923,0,13,4,0,0,1.49,148.01,0.6493,0.0453,0.0102,0.0026,0,0.7254,0.0549,0.0022,0,0,0.0416,0.0459,0.104,0.5464,0.1789,0.0506,0.0158,0.0021,0.0006,0.5038,0.0003,0.0881,0.5842,0.4921,0.3255,0,604,165.6592,0,0,179,0,0,0,85.1378,Bancu,0,0,0,0,9,9,10.9238,GD 2,42923.48131,Intermittent-run,42923.47432,325.512, training,293.3,13.2,6.1,1.4,0,274.6,15.1,0.6,0,0,0,0,0,0,0,126.7,17.4,24.1,103.8,34.3,10.5,3.7,0.6,0.1,283,0.1,160.7,290,96.7,56.9,0,6.1023,45.4907,False
2017-07-07 00:00:00.000,Player2,9.716666666666667,0,0.3293017342605973,2017-07-07 10:27:18.432,Warm-up,2017-07-07 10:37:01.632,0.673,0.0,2,87.1,0.0,2.6883417992564915,8.917652388381148,0.0,52.93004804804627,14.297,41.8,1,4,0,0,72.803,69.2633,0,5.2428,0,20,9,2,2,42923,0,25,5,0,1,0.673,69.2633,0.2519,0.0483,0.0087,0.0022,0.0007,0.302,0.0515,0.0063,0.0011,0.0002,0.1964,0.1228,0.0484,0.0453,0.0202,0.0095,0.0085,0.0007,0.0022,0.2183,0.0007,0.2758,0.3348,0.0481,0.0143,0,583,76.6595,0,0,47,0,0,0,52.667,Bancu,0,0,1,1,0,2,5.2428,GD 2,42923.44238,Warm-up,42923.43563,14.297, training,253.4,25.7,4.7,1.1,0.5,271.2,23.1,2.4,0.4,0.1,0,0,0,0,0,370,46,13.8,10.4,5.1,2.4,2,0.3,0.7,131.6,0.3,431.4,139.2,9.5,2.5,0,5.8934,19.2928,False
2017-07-07 00:00:00.000,Player2,36.15,0,1.4055140079143555,2017-07-07 10:42:58.464,Offensive-combinat,2017-07-07 11:19:07.104,2.7461,12.0,27,520.9,0.0,20.597926598280424,39.56035985680615,19.526056938973163,59.578203790117556,220.13,340.29999999999995,20,17,0,0,300.77,75.9635,0,6.1165,0,85,38,11,6,42923,0,65,44,11,9,2.7461,75.9635,0.9392,0.2272,0.0699,0.0234,0.0052,1.0914,0.2833,0.0826,0.0157,0.0084,0.7965,0.2995,0.1783,0.1806,0.1097,0.0518,0.0533,0.0419,0.0219,0.9509,0.0617,1.1649,1.1241,0.2369,0.2082,0.012,2169,332.8811,0,0,208,0,0,0,182.6938,Bancu,0,19,8,0,0,27,6.1165,GD 2,42923.47161,Offensive-combinat,42923.44651,220.13, training,891.9,112.6,29.6,8.3,2.3,973.4,114.1,28.6,5.4,2.5,0,0,0,0,0,1293.7,124.4,51.8,39.1,21.6,11.5,10.9,8.7,5,587.1,14.9,1574.8,510.3,47.7,34.2,1.7,7.1556,17.4067,False
2017-07-07 00:00:00.000,Player2,66.13333333333334,3,2.9951174711885393,2017-07-07 10:27:08.928,Session,2017-07-07 11:33:17.280,5.2012,12.0,39,1420.3999999999999,32.30893656980168,42.45831890678591,100.05091505910556,38.683381898742645,60.62431051113512,568.161,642.7,22,25,0,0,852.2389999999999,78.6466,0,6.0802,0,115,52,17,8,42923,0,104,54,12,10,5.2012,78.6466,1.9718,0.3293,0.0915,0.0282,0.0058,2.2571,0.3943,0.0974,0.0171,0.0086,1.1911,0.475,0.3333,0.7777,0.3113,0.1141,0.0826,0.047,0.025,1.7814,0.0627,1.7548,2.094,0.7841,0.5562,0.012,3968,605.446,0,0,437,0,0,0,342.1205,Bancu,0,20,9,1,9,39,6.0802,GD 2,42923.48145,Session,42923.43552,568.161, training,1835.4,155.2,41.3,10.8,2.8,1725.3,155.1,33.6,5.9,2.6,0,0,0,0,0,2322.8,190.8,90.5,154.4,61.4,25,17.6,10.1,5.9,1074.2,15.3,2750.3,965.7,155.3,95,1.7,7.1556,19.6195,False
2017-07-07 00:00:00.000,Player3,74.61666666666666,4,4.288615777161427,2017-07-07 10:27:06.336,Session,2017-07-07 11:41:43.583,5.8527,39.199999999999996,44,2222.6,44.95711552215776,60.64989917861372,142.30355869871113,58.97207076084818,60.64586699042237,1037.619,912.2000000000002,22,59,0,0,1184.981,78.4369,0,6.1081,0,98,41,35,24,42923,0,100,58,16,6,5.8527,78.4369,2.237,0.2922,0.1074,0.0335,0.0114,2.6588,0.3828,0.0974,0.0271,0.005,1.423,0.552,0.489,1.3104,0.532,0.1488,0.0681,0.0351,0.041,1.166,0.0872,1.8856,1.7089,1.2205,0.9984,0.0392,4477,686.326,0,0,216,1,0,1,325.6952,Barbut,0,17,6,0,21,44,6.1081,GD 2,42923.48731,Session,42923.43549,1037.619, training,2031,138.2,44.3,15.7,7,2037.2,162.2,32.5,8.2,1.2,0,0,0,0,0,2988,211.4,124.9,252.3,100.4,30.7,15.5,8.3,9.5,715.3,21.2,3345.8,713.5,241.6,171.3,5.3,8.1023,20.2412,False
2017-07-07 00:00:00.000,Player3,9.716666666666667,0,0.28453647290780637,2017-07-07 10:27:18.432,Warm-up,2017-07-07 10:37:01.632,0.6715,0.0,2,57.400000000000006,0.0,1.8285487465524453,7.83742387607901,0.0,52.48163351963131,2.224,25.899999999999995,2,6,0,0,55.176,69.1072,0,5.1502,0,20,3,4,2,42923,0,18,4,1,1,0.6715,69.1072,0.2647,0.0286,0.0081,0.0043,0.0006,0.3169,0.0424,0.0041,0.0012,0.0006,0.2332,0.0956,0.0446,0.0315,0.0071,0.0078,0.0024,0.0018,0.0026,0.2407,0.0042,0.3009,0.3229,0.0455,0.0022,0,583,75.2973,0,0,48,0,0,0,47.9137,Barbut,0,0,2,0,0,2,5.1502,GD 2,42923.44238,Warm-up,42923.43563,2.224, training,260.9,18.6,3.5,2,0.2,275.9,19.5,1.4,0.4,0.2,0,0,0,0,0,377.1,37.3,12.5,6.8,1.9,2.1,0.8,0.6,0.7,141.5,1.3,429.7,143.3,9.2,0.4,0,5.44,17.9883,False
2017-07-07 00:00:00.000,Player3,36.15,0,1.4140908226570161,2017-07-07 10:42:58.464,Offensive-combinat,2017-07-07 11:19:07.104,2.4678,39.199999999999996,21,442.90000000000003,0.0,17.33874905137815,41.167048590671,20.10535543913666,53.852327686608575,180.335,297.0,20,33,0,0,262.56500000000005,68.2651,0,5.5699,0,77,37,24,9,42923,0,74,37,15,5,2.4678,68.2651,0.8472,0.2011,0.0739,0.0196,0.0042,0.9797,0.2354,0.0767,0.0255,0.0044,0.6834,0.3979,0.1593,0.1459,0.0935,0.0479,0.0384,0.0215,0.0306,0.7842,0.0651,0.968,1.1501,0.1693,0.1411,0.0392,2169,303.1212,0,0,113,1,0,1,159.2562,Barbut,0,17,4,0,0,21,5.5699,GD 2,42923.47161,Offensive-combinat,42923.44651,180.335, training,935.3,98.2,29.8,8.2,2.2,961.3,100.4,24.6,7.6,1,0,0,0,0,0,1391.2,154.8,48.4,34.3,20.3,10.1,8.4,4.8,6.7,475.3,14.3,1611.8,493.9,34.2,23.4,5.3,8.1023,18.0531,False
2017-07-07 00:00:00.000,Player3,17.366666666666667,0,2.3247849079319467,2017-07-07 11:24:17.280,Intermittent-run,2017-07-07 11:41:39.264,2.4044,0.0,21,1722.3000000000002,0.0,46.49569815863893,0.0,0.0,106.37532009247661,855.061,589.3000000000001,0,20,0,0,867.2390000000001,138.4512,0,10.6193,0,0,1,7,13,42923,0,6,17,0,0,2.4044,138.4512,0.9792,0.0614,0.0253,0.0096,0.0067,1.2036,0.1016,0.0167,0.0004,0,0.2288,0.0576,0.2848,1.133,0.4314,0.0931,0.0273,0.0118,0.0079,0.1109,0.0178,0.315,0.2287,1.0057,0.8551,0,1042,277.6308,0,0,54,0,0,0,95.4675,Barbut,0,0,0,0,21,21,10.6193,GD 2,42923.48726,Intermittent-run,42923.4752,855.061, training,457.9,20.4,11,5.5,4.6,496.7,39,6.5,0.2,0,0,0,0,0,0,557.4,18.8,63.8,211.2,78.2,18.5,6.3,2.9,2.1,77,5.6,623.8,72.3,198.2,147.5,0,6.4445,39.211,False
2017-07-07 00:00:00.000,Player5,38.416666666666664,0,1.7963898182522549,2017-07-07 10:41:00.960,Defensive-line,2017-07-07 11:19:25.248,1.9686,0.0,19,354.09999999999997,0.0,13.495507707985508,48.98453199735606,0.0,40.65166943752593,42.225,204.19999999999996,31,34,0,0,311.87499999999994,51.2429,0,4.2341,0,24,34,26,8,42923,0,26,34,20,11,1.9686,51.2429,0.6461,0.1387,0.0819,0.024,0.0035,0.778,0.1835,0.0769,0.0266,0.0093,0.6627,0.2706,0.1781,0.1499,0.061,0.045,0.0338,0.0203,0.0128,0.503,0.0313,0.8877,0.8183,0.2203,0.0422,0,2305,244.8761,0,0,110,0,0,0,126.7078,Briceag,0,17,2,0,0,19,4.2341,GD 2,42923.47182,Defensive-line,42923.44515,42.225, training,1014.1,77.6,39.2,13.5,1.7,1037,81,27.9,9.8,2.8,0,0,0,0,0,1739.1,98.8,52.3,35.8,15.9,12.8,9.6,5.9,3.9,321.9,8.6,1914.9,337.3,45.1,7.3,0,6.1889,11.5465,False
2017-07-07 00:00:00.000,Player5,62.1,4,2.824301042274394,2017-07-07 10:27:15.839,Session,2017-07-07 11:29:22.272,3.5899,0.0,28,908.4999999999998,42.23894895548735,28.66804474738078,83.46272254347195,0.0,44.97138148789463,221.849,412.79999999999995,34,41,0,0,686.6509999999998,57.8076,0,4.5676,0,52,44,33,8,42923,0,46,49,23,11,3.5899,57.8076,1.3238,0.209,0.1001,0.0285,0.0035,1.5164,0.2764,0.094,0.0289,0.0093,1.1281,0.418,0.3656,0.4957,0.1944,0.0881,0.0536,0.0287,0.0146,0.7695,0.0334,1.4872,1.2362,0.6446,0.2218,0,3726,427.1647,0,0,187,1,0,1,212.4172,Briceag,0,17,4,0,7,28,4.5676,GD 2,42923.47873,Session,42923.4356,221.849, training,1692,112.2,48.4,15.8,1.7,1686.7,121,35.3,10.6,2.8,0,0,0,0,0,2779,153.1,98.3,103.8,42,22.4,14.4,7.9,4.4,491.9,9.3,3057.3,500.5,130.3,38.4,0,6.2934,13.4013,False
2017-07-07 00:00:00.000,Player5,4.866666666666666,0,1.4101067322100393,2017-07-07 11:24:23.328,Intermittent-run,2017-07-07 11:29:14.496,0.6996,0.0,7,480.80000000000007,0.0,13.174434861728452,37.64512004301931,0.0,111.54336588552917,156.827,170.4,3,5,0,0,323.97300000000007,143.7563,0,11.2891,0,4,3,5,0,42923,0,5,4,3,0,0.6996,143.7563,0.275,0.0301,0.0099,0.0038,0,0.3368,0.0339,0.0079,0.0023,0,0.036,0.0226,0.1421,0.3104,0.1125,0.0336,0.0152,0.0053,0.0018,0.018,0.002,0.0474,0.1057,0.3897,0.1568,0,292,82.6956,0,0,31,0,0,0,30.0552,Briceag,0,0,0,0,7,7,11.2891,GD 2,42923.47864,Intermittent-run,42923.47527,156.827, training,125.2,9.8,4.7,1.9,0,134.7,11.4,3.4,0.8,0,0,0,0,0,0,146,7.4,32,59.9,21.5,6.9,3.7,1.4,0.5,11.9,0.7,155.2,31.3,78.2,27.2,0,6.2378,45.6663,False
2017-07-07 00:00:00.000,Player5,9.716666666666667,0,0.1189817664213334,2017-07-07 10:27:18.432,Warm-up,2017-07-07 10:37:01.632,0.6138,0.0,2,73.7,0.0,2.379635328426668,0.0,0.0,48.139018662884354,22.797,38.3,0,2,0,0,50.903000000000006,63.1648,0,4.7492,0,23,7,2,0,42923,0,14,11,0,0,0.6138,63.1648,0.2523,0.0396,0.0083,0.0007,0,0.2464,0.0571,0.0093,0,0,0.1806,0.1244,0.0453,0.0354,0.021,0.0095,0.0047,0.0031,0,0.1899,0,0.2597,0.2966,0.0347,0.0228,0,583,69.447,0,0,45,0,0,0,38.3274,Briceag,0,0,2,0,0,2,4.7492,GD 2,42923.44238,Warm-up,42923.43563,22.797, training,261.3,23.6,4.5,0.4,0,262.7,26.2,4,0,0,0,0,0,0,0,387.7,46.7,14,8.1,4.6,2.7,1.1,0.6,0,117.2,0,448.8,123,7,3.9,0,6.2934,16.7668,False
