playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2018-01-16,4,5,5,5,5
Player4,2018-01-16,4,5,4,4,5
Player26,2018-01-16,5,5,5,4,4
Player1,2018-01-16,5,5,3,5,5
Player6,2018-01-16,4,5,5,4,5
Player24,2018-01-16,4,4,4,4,5
Player8,2018-01-16,4,4,5,4,5
Player21,2018-01-16,4,4,4,3,4
Player3,2018-01-16,4,5,4,4,5
Player22,2018-01-16,4,5,5,4,5
Player14,2018-01-16,5,5,5,5,5
Player31,2018-01-16,4,4,5,5,5
Player19,2018-01-16,4,5,5,4,5
Player23,2018-01-16,3,5,3,5,5
Player32,2018-01-16,5,5,5,4,5
Player2,2018-01-16,4,5,4,5,4
Player20,2018-01-16,4,4,4,5,5
Player5,2018-01-16,4,4,4,3,3
Player10,2018-01-16,5,5,5,5,5
Player11,2018-01-16,5,5,4,4,5
Player16,2018-01-16,5,5,4,5,5
Player25,2018-01-16,4,5,4,4,5
Player9,2018-01-16,5,5,4,5,5
Player29,2018-01-16,3,4,4,4,4
Player15,2018-01-16,4,5,4,4,5
